,Data,Hora,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",region,state,station,station_code,latitude,longitude,height
0,2019-01-01,00:00,2.2,998.3,998.3,997.0,-9999,22.3,-9999.0,22.4,22.2,-9999.0,-9999.0,-9999,-9999,-9999,48,2.2,0.9,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
1,2019-01-01,04:00,0.0,997.0,997.6,997.0,-9999,22.8,-9999.0,22.9,22.8,-9999.0,-9999.0,-9999,-9999,-9999,344,1.5,0.0,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
2,2019-01-01,08:00,0.0,996.7,996.7,996.3,-9999,23.0,-9999.0,23.0,22.7,-9999.0,-9999.0,-9999,-9999,-9999,181,0.0,0.0,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
3,2019-01-01,12:00,0.0,999.4,999.4,998.9,815,24.9,24.9,25.0,24.0,-9999.0,-9999.0,-9999,-9999,100,353,2.3,0.8,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
4,2019-01-01,16:00,0.0,997.0,998.2,996.9,3421,30.4,23.9,30.7,29.0,25.2,23.3,75,67,68,98,6.4,2.5,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
5,2019-01-01,20:00,0.0,995.4,995.5,995.1,794,27.6,22.8,29.6,27.6,24.0,22.0,76,70,75,128,8.0,1.9,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
6,2019-01-02,00:00,0.0,997.6,997.6,997.1,-9999,24.3,24.3,24.8,24.2,24.6,23.8,100,94,100,94,1.2,0.0,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
7,2019-01-02,04:00,0.4,997.1,997.7,997.1,-9999,23.3,-9999.0,23.5,23.3,-9999.0,-9999.0,-9999,-9999,-9999,45,1.4,0.1,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
8,2019-01-02,08:00,0.0,997.0,997.0,996.5,-9999,23.1,-9999.0,23.5,22.9,-9999.0,-9999.0,-9999,-9999,-9999,57,1.1,0.3,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
9,2019-01-02,12:00,0.0,999.2,999.3,998.7,1336,26.7,25.6,26.7,24.3,-9999.0,-9999.0,-9999,-9999,94,110,3.9,2.3,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
10,2019-01-02,16:00,0.0,997.1,998.6,997.1,3253,30.3,24.0,31.4,28.8,24.9,23.3,76,63,69,81,8.1,3.2,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
11,2019-01-02,20:00,0.0,995.2,995.3,994.9,1330,30.5,23.5,32.0,30.5,23.9,22.1,66,57,66,87,6.0,2.5,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
12,2019-01-03,00:00,0.0,997.6,997.6,996.6,-9999,25.6,23.4,25.9,25.6,23.5,23.4,88,86,88,87,4.2,1.1,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
13,2019-01-03,04:00,0.0,996.7,997.6,996.7,-9999,23.2,23.2,23.8,23.1,23.5,23.1,100,97,100,31,1.3,0.0,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
14,2019-01-03,08:00,0.0,996.1,996.1,995.9,-9999,23.5,-9999.0,23.5,22.8,-9999.0,-9999.0,-9999,-9999,-9999,92,1.8,0.5,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
15,2019-01-03,12:00,0.0,998.5,998.6,998.1,922,26.5,24.6,26.5,25.2,25.0,24.3,97,89,90,84,4.5,2.2,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
16,2019-01-03,16:00,0.0,996.6,997.5,996.6,3191,30.5,23.8,31.8,29.6,24.8,23.0,72,62,68,98,8.1,3.3,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
17,2019-01-03,20:00,0.0,995.2,995.4,994.6,853,27.7,21.7,32.1,27.4,23.4,20.9,70,57,70,131,10.8,1.1,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
18,2019-01-04,00:00,0.0,997.0,997.1,996.3,-9999,25.5,23.3,26.5,25.4,23.3,23.2,88,82,88,122,4.0,1.0,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
19,2019-01-04,04:00,0.0,997.0,997.4,996.9,-9999,24.3,23.1,24.8,24.2,23.2,23.0,94,91,93,91,4.0,2.2,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
20,2019-01-04,08:00,0.0,997.0,997.0,996.1,-9999,23.1,-9999.0,23.4,23.1,23.4,23.1,100,100,-9999,116,4.2,0.7,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
21,2019-01-04,12:00,0.0,998.8,998.9,998.3,1805,27.8,24.1,27.8,25.5,24.4,23.7,91,80,80,112,7.3,3.3,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
22,2019-01-04,16:00,0.0,997.5,998.4,997.5,3111,31.9,23.6,32.2,30.7,24.9,22.8,69,60,62,101,7.0,3.2,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
23,2019-01-04,20:00,0.0,994.2,994.2,994.0,1407,32.1,22.9,32.8,32.0,23.5,22.3,61,54,58,110,5.9,2.4,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
24,2019-01-05,00:00,0.0,996.5,996.6,996.0,-9999,24.1,24.1,24.2,23.5,24.1,23.5,100,99,100,53,2.3,1.0,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
25,2019-01-05,04:00,0.0,996.7,997.2,996.7,-9999,24.3,23.5,24.9,24.3,23.6,23.4,95,92,95,69,2.9,1.3,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
26,2019-01-05,08:00,0.0,996.3,996.3,995.7,-9999,23.6,-9999.0,23.8,23.6,-9999.0,-9999.0,-9999,-9999,-9999,154,3.3,0.4,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
27,2019-01-05,12:00,0.0,999.4,999.5,998.8,546,26.1,24.6,26.1,25.0,25.4,24.6,100,92,92,133,3.2,1.4,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
28,2019-01-05,16:00,0.0,997.1,998.1,997.1,2976,30.9,23.2,31.6,30.1,24.5,22.4,69,60,64,103,7.4,2.5,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
29,2019-01-05,20:00,0.0,994.9,995.1,994.8,740,26.4,24.6,26.4,24.6,24.6,23.2,95,89,89,101,8.7,1.2,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
30,2019-01-06,00:00,0.0,998.1,998.1,996.7,-9999,25.3,25.1,25.3,24.5,25.3,24.5,100,99,99,167,5.1,2.0,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
31,2019-01-06,04:00,0.0,997.0,997.7,997.0,-9999,23.2,-9999.0,23.6,23.2,-9999.0,-9999.0,-9999,-9999,-9999,360,2.1,0.3,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
32,2019-01-06,08:00,0.0,996.6,996.7,996.3,-9999,23.3,-9999.0,23.5,23.3,-9999.0,-9999.0,-9999,-9999,-9999,22,1.4,0.0,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
33,2019-01-06,12:00,0.0,998.8,998.8,998.1,1128,26.8,25.6,27.4,26.2,26.2,25.0,98,91,93,95,4.7,2.4,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
34,2019-01-06,16:00,0.0,996.7,997.9,996.7,2895,30.6,24.4,31.3,29.6,25.1,23.4,73,67,70,126,7.1,3.0,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
35,2019-01-06,20:00,15.4,995.0,995.1,993.9,977,23.3,23.3,29.8,23.3,25.0,23.3,100,72,100,117,9.0,3.9,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
36,2019-01-07,00:00,0.0,997.5,997.5,996.9,-9999,23.7,23.7,23.7,23.1,23.7,22.8,100,97,100,122,2.3,1.1,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
37,2019-01-07,04:00,5.2,997.8,998.5,997.8,-9999,21.8,21.8,22.2,21.8,22.1,21.8,100,99,100,110,6.1,2.2,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
38,2019-01-07,08:00,0.0,996.5,996.5,996.1,-9999,21.5,-9999.0,21.8,21.5,21.8,21.6,100,100,-9999,14,2.5,0.1,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
39,2019-01-07,12:00,0.0,997.9,997.9,997.5,487,23.7,22.4,23.8,22.6,23.2,22.2,100,92,92,161,3.9,1.5,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
40,2019-01-07,16:00,0.0,997.1,997.9,997.1,1672,28.0,23.5,28.0,27.2,24.0,22.8,80,75,76,124,4.6,2.3,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
41,2019-01-07,20:00,0.0,995.2,995.2,995.1,695,27.4,23.6,28.2,27.4,23.9,23.2,80,76,80,169,4.4,1.6,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
42,2019-01-08,00:00,0.0,997.8,997.8,997.1,-9999,25.1,22.6,25.6,25.0,24.2,22.6,92,86,86,104,5.5,1.7,N,PA,PARAGOMINAS,A212,-2.99027777,-47.40777777,113.0
